nct_id,phases,enrollment,enrollment_type,start_date,primary_completion_date,sponsor_class,n_conditions,n_sites,n_countries
NCT05908786,PHASE1|PHASE2,62,ACTUAL,2023-12-05,2025-08-27,INDUSTRY,1,30,9
NCT03915769,PHASE3,198,ACTUAL,2019-06-03,2025-09-30,INDUSTRY,1,67,1
NCT02746783,PHASE1|PHASE2,163,ACTUAL,2013-10,2015-07,OTHER,1,1,1
NCT04246541,PHASE3,48,ACTUAL,2019-04-23,2021-09-12,OTHER,5,1,1
NCT03226522,PHASE2|PHASE3,366,ACTUAL,2017-07-13,2020-04-17,INDUSTRY,3,78,2
NCT06560151,PHASE2,1380,ACTUAL,2024-08-21,2025-01-02,FED,1,20,1
NCT01740531,PHASE3,86,ACTUAL,2012-12,2017-12-21,INDUSTRY,1,3,2
NCT05111431,PHASE3,159,ACTUAL,2021-11-24,2022-05-20,INDUSTRY,1,1,1
NCT05361031,PHASE1|PHASE2,12,ACTUAL,2020-09-21,2021-09-09,INDUSTRY,1,1,1
NCT00536302,PHASE2|PHASE3,30,ACTUAL,2007-03,2008-11,INDUSTRY,1,1,1
NCT00006237,PHASE3,432,ACTUAL,2000-08,2012-07,NETWORK,1,297,2
NCT00417872,PHASE2,114,,2004-01,,INDUSTRY,1,7,1
NCT00028795,PHASE2,170,ACTUAL,2002-12,2007-09,NETWORK,1,230,7
NCT00088595,PHASE2,45,ACTUAL,2004-01,2008-07,INDUSTRY,1,4,1
NCT00223977,PHASE2|PHASE3,146,ACTUAL,2003-12,2004-11,INDUSTRY,1,43,8
NCT00786877,PHASE3,4678,ACTUAL,2009-08,2014-05,OTHER,1,1,1
NCT00129675,PHASE2,169,ACTUAL,2003-02,2009-05,OTHER,1,1,1
NCT06235775,PHASE2,67,ACTUAL,2023-12-12,2025-09-01,INDUSTRY,1,5,1
NCT01022775,PHASE3,70,ACTUAL,2001-04,2007-02,OTHER,1,1,1
NCT03744312,PHASE1|PHASE2,9,ACTUAL,2018-09-10,2022-07-20,OTHER,1,1,1
NCT01986881,PHASE3,8246,ACTUAL,2013-11-04,2019-12-27,INDUSTRY,1,0,0
NCT00844519,PHASE3,52,ACTUAL,2010-01,2012-12,OTHER,4,1,1
NCT03852719,PHASE3,150,ACTUAL,2019-04-17,2020-11-26,INDUSTRY,1,19,5
NCT01991457,PHASE2,19,ACTUAL,2013-08-27,2020-01-30,OTHER,1,1,1
NCT05890001,PHASE3,400,ACTUAL,2023-04-05,2024-10-08,INDUSTRY,2,60,1
NCT04207801,PHASE2,90,ACTUAL,2020-01-21,2021-03-20,INDUSTRY,1,9,1
NCT00194012,PHASE3,62,ACTUAL,2004-08,2012-05,OTHER,1,1,1
NCT04772742,PHASE3,193,ACTUAL,2021-02-17,2022-05-23,INDUSTRY,2,40,5
NCT04003142,PHASE3,501,ACTUAL,2019-07-10,2020-07-30,INDUSTRY,1,93,7
NCT00625573,PHASE2,29,ESTIMATED,2007-09,2009-02,OTHER,1,1,1
NCT03318783,PHASE1|PHASE2,20,ACTUAL,2018-05-02,2019-04-03,OTHER,4,1,1
NCT01890941,PHASE2,,,,2014-03,INDUSTRY,1,1,1
NCT03769441,PHASE3,148,ACTUAL,2019-08-02,2024-08-19,OTHER,2,2,1
NCT01235754,PHASE3,626,ACTUAL,2010-10,2011-12,INDUSTRY,1,102,2
NCT00004254,PHASE2,25,ACTUAL,1999-11,2001-06,NETWORK,1,6,2
NCT00158405,PHASE3,840,ACTUAL,2002-12,,OTHER_GOV,1,5,1
NCT02067156,PHASE2,26,ACTUAL,2014-02,2016-12,INDUSTRY,1,1,1
NCT01948856,PHASE3,1003,ACTUAL,2013-09,2016-10-17,INDUSTRY,1,24,5
NCT00647556,PHASE3,30,ACTUAL,2008-04,2010-01,INDUSTRY,1,1,1
NCT01147822,PHASE2,367,ACTUAL,2010-05-19,2012-05-21,INDUSTRY,1,21,3
NCT05188729,PHASE2,92,ACTUAL,2022-02-01,2024-04-15,INDUSTRY,5,13,1
NCT00270231,PHASE2,64,ACTUAL,2004-03,2005-10,OTHER,1,1,1
NCT04365153,PHASE2,45,ACTUAL,2020-04-24,2021-02-02,OTHER,2,2,1
NCT02858037,PHASE3,1456,ACTUAL,2016-07-18,2018-10-10,INDUSTRY,1,17,4
NCT03536039,PHASE2,28,ACTUAL,2016-01-27,2019-01-27,OTHER,1,1,1
NCT01134575,PHASE2,90,ACTUAL,2010-06-04,2018-04-18,OTHER,1,1,1
NCT03300557,PHASE2,40,ACTUAL,2017-11-15,2023-12-13,NIH,5,3,1
NCT00206557,PHASE2,60,,2002-10,,OTHER,3,1,1
NCT02755857,PHASE2,20,ACTUAL,2016-07,2016-12,INDUSTRY,1,1,1
NCT02918357,PHASE2|PHASE3,385,ACTUAL,2016-09-15,2017-09-21,OTHER,1,1,1
NCT06940557,PHASE2|PHASE3,70,ACTUAL,2023-12-01,2024-09-30,OTHER,1,1,1
NCT02419001,PHASE1|PHASE2,11,ACTUAL,2015-03,2015-09,INDUSTRY,1,3,2
NCT01485601,PHASE2,121,ACTUAL,2011-12-07,2012-03-30,INDUSTRY,1,1,1
NCT04504812,PHASE3,1937,ACTUAL,2021-02-01,2025-04-08,OTHER,1,24,1
NCT02507219,PHASE2|PHASE3,24,ACTUAL,2015-07,2015-10,OTHER,1,1,1
NCT00231530,PHASE3,541,ACTUAL,2001-01,,INDUSTRY,3,0,0
NCT02515630,PHASE2,41,ACTUAL,2016-01-29,2017-07-18,INDUSTRY,3,13,2
NCT02678767,PHASE2,30,ACTUAL,2015-02,2017-09,OTHER,1,1,1
